        Frequency / THz                Eps' (Fit)/real
               1.8558258                       4.0173469
                1.858018                       4.0161319
               1.8602102                       4.0149183
               1.8624024                       4.0137067
               1.8645946                       4.0124965
               1.8667868                       4.0112882
               1.8682723                       4.0104704
                1.868979                       4.0100813
               1.8711711                       4.0088763
               1.8733634                       4.0076728
               1.8755555                       4.0064712
               1.8777478                       4.0052714
               1.8799399                       4.0040731
               1.8821322                       4.0028763
               1.8843243                       4.0016813
               1.8865166                       4.0004878
               1.8887087                       3.9992964
               1.8909009                       3.9981062
               1.8930931                        3.996918
               1.8952852                       3.9957314
               1.8974775                       3.9945464
               1.8996696                       3.9933631
               1.9018619                       3.9921815
                1.904054                       3.9910016
               1.9062463                       3.9898233
               1.9084384                       3.9886467
               1.9106306                       3.9874716
               1.9128228                       3.9862983
                1.915015                       3.9851267
               1.9172072                       3.9839568
               1.9193994                       3.9827883
               1.9215916                       3.9816217
               1.9237838                       3.9804566
               1.9259759                       3.9792933
               1.9281682                       3.9781315
               1.9303603                       3.9769714
               1.9325526                       3.9758129
               1.9347447                       3.9746563
                1.936937                       3.9735012
               1.9391291                       3.9723475
               1.9413214                       3.9711957
               1.9435135                       3.9700456
               1.9457057                       3.9688969
               1.9478979                       3.9677501
               1.9500901                       3.9666047
               1.9522823                        3.965461
               1.9544744                        3.964319
               1.9566667                       3.9631786
               1.9588588                       3.9620399
               1.9610511                       3.9609029
               1.9632432                       3.9597673
               1.9654354                       3.9586334
               1.9676276                       3.9575012
               1.9698198                       3.9563706
                1.972012                       3.9552417
               1.9728816                       3.9547944
               1.9742042                       3.9541144
               1.9763964                       3.9529886
               1.9785886                       3.9518645
               1.9807808                        3.950742
                1.982973                       3.9496212
               1.9851651                       3.9485018
               1.9873574                       3.9473841
               1.9895495                       3.9462681
